tweet_id,retweet_count,favorite_count,followers_count
865359393868664832,4194,22892,22892
865006731092295680,6522,24298,24298
864873206498414592,7324,27945,27945
864279568663928832,2518,12655,12655
864197398364647424,7406,25916,25916
863907417377173506,3521,17886,17886
863553081350529029,3566,13255,13255
863471782782697472,2039,0,0
863432100342583297,4468,20619,20619
863427515083354112,80,1917,1917
863079547188785154,934,7690,7690
863062471531167744,2039,7298,7298
862831371563274240,4356,16720,16720
862722525377298433,3024,14877,14877
862457590147678208,4153,17754,17754
862096992088072192,19582,64514,64514
861383897657036800,9074,31415,31415
861288531465048066,3508,14913,14913
861005113778896900,3258,14519,14519
860981674716409858,1819,0,0
860924035999428608,660,0,0
860563773140209665,1819,6525,6525
860524505164394496,4489,20560,20560
860276583193509888,2993,16003,16003
860184849394610176,5000,14550,14550
860177593139703809,26084,0,0
859924526012018688,3490,17041,17041
859851578198683649,3007,13545,13545
859607811541651456,1346,16322,16322
859196978902773760,25709,78250,78250
859074603037188101,11734,29620,29620
858860390427611136,6931,0,0
858843525470990336,2966,13749,13749
858471635011153920,4176,18912,18912
858107933456039936,2479,13820,13820
857989990357356544,2220,14040,14040
857746408056729600,9150,29952,29952
857393404942143489,1409,5155,5155
857263160327368704,3895,17768,17768
857214891891077121,16,198,198
857062103051644929,142,0,0
857029823797047296,3427,16619,16619
856543823941562368,2491,14357,14357
856526610513747968,1615,10483,10483
856288084350160898,14,472,472
856282028240666624,5465,24537,24537
855862651834028034,21,293,293
855860136149123072,841,4286,4286
855857698524602368,1811,10517,10517
855851453814013952,15596,40253,40253
855818117272018944,4698,23562,23562
855459453768019968,7157,26363,26363
855245323840757760,5147,0,0
855138241867124737,36,0,0
854732716440526848,5242,20108,20108
854482394044301312,5903,25828,25828
854365224396361728,4054,16685,16685
854120357044912130,6454,28304,28304
854010172552949760,2743,14348,14348
853760880890318849,5027,25303,25303
853639147608842240,8686,30700,30700
853299958564483072,3111,13713,13713
852936405516943360,1755,0,0
852912242202992640,1554,7985,7985
852672615818899456,1870,13211,13211
852553447878664193,3051,14449,14449
852311364735569921,8671,29448,29448
852226086759018497,5946,17800,17800
852189679701164033,1395,10231,10231
851591660324737024,3058,14517,14517
851464819735769094,6167,21615,21615
851224888060895234,5050,18467,18467
850753642995093505,7941,27370,27370
850380195714523136,2280,11675,11675
850333567704068097,298,3092,3092
850145622816686080,3324,14596,14596
850019790995546112,4286,18207,18207
849776966551130114,6678,27075,27075
849668094696017920,4346,0,0
849412302885593088,2773,14232,14232
849336543269576704,1651,10224,10224
849051919805034497,7448,37754,37754
848690551926992896,3852,22525,22525
848324959059550208,4076,22156,22156
848213670039564288,633,7293,7293
848212111729840128,2659,14564,14564
847978865427394560,2848,0,0
847971574464610304,383,0,0
847962785489326080,4485,21129,21129
847842811428974592,1167,4889,4889
847617282490613760,372,6240,6240
847606175596138505,3021,16841,16841
847251039262605312,3831,18392,18392
847157206088847362,5124,17793,17793
847116187444137987,2819,19230,19230
846874817362120707,3481,18097,18097
846514051647705089,10176,39946,39946
846505985330044928,2703,12632,12632
846153765933735936,7994,28317,28317
846139713627017216,8941,27943,27943
846042936437604353,2534,14377,14377
845812042753855489,7704,26238,26238
845677943972139009,4293,22704,22704
845397057150107648,1582,6873,6873
845306882940190720,4757,21016,21016
845098359547420673,6793,0,0
844979544864018432,2280,12327,12327
844973813909606400,2795,13557,13557
844580511645339650,2765,14816,14816
844223788422217728,1960,12327,12327
843981021012017153,2650,13702,13702
843856843873095681,4091,19372,19372
843604394117681152,2433,15267,15267
843235543001513987,5283,19399,19399
842846295480000512,3234,13819,13819
842765311967449089,1157,6119,6119
842535590457499648,3095,16367,16367
842163532590374912,5147,22082,22082
842115215311396866,2691,12666,12666
841833993020538882,13301,0,0
841680585030541313,6992,23305,23305
841439858740625411,3227,11359,11359
841320156043304961,4917,17880,17880
841314665196081154,4156,14315,14315
841077006473256960,4779,20620,20620
840761248237133825,1583,0,0
840728873075638272,14357,0,0
840698636975636481,2,155,155
840696689258311684,868,11140,11140
840632337062862849,1583,8175,8175
840370681858686976,4078,14869,14869
840268004936019968,5097,17379,17379
839990271299457024,2019,12166,12166
839549326359670784,6931,24863,24863
839290600511926273,128,0,0
839239871831150596,5811,24535,24535
838952994649550848,3587,17854,17854
838921590096166913,1816,10101,10101
838916489579200512,29,0,0
838831947270979586,9804,0,0
838561493054533637,1204,9895,9895
838476387338051585,4278,20414,20414
838201503651401729,9004,0,0
838150277551247360,295,1531,1531
838085839343206401,0,127,127
838083903487373313,2795,15996,15996
837820167694528512,7019,30920,30920
837482249356513284,397,3488,3488
837471256429613056,2029,11625,11625
837110210464448512,2141,14599,14599
836989968035819520,2072,11600,11600
836753516572119041,4168,17581,17581
836677758902222849,1975,11492,11492
836648853927522308,496,0,0
836397794269200385,24580,0,0
836380477523124226,2688,13471,13471
836260088725786625,3898,19322,19322
836001077879255040,3820,17362,17362
835685285446955009,7267,0,0
835574547218894849,3235,16160,16160
835536468978302976,1519,0,0
835309094223372289,18723,0,0
835297930240217089,2681,14938,14938
835264098648616962,1519,7014,7014
835246439529840640,63,1946,1946
835172783151792128,5194,23832,23832
835152434251116546,2697,20361,20361
834931633769889797,1460,9799,9799
834786237630337024,4994,19574,19574
834574053763584002,2268,12437,12437
834477809192075265,9562,0,0
834458053273591808,1513,8769,8769
834209720923721728,4247,18704,18704
834167344700198914,3284,14357,14357
834089966724603904,1923,9159,9159
834086379323871233,1996,11867,11867
833863086058651648,2160,12238,12238
833826103416520705,3427,16596,16596
833732339549220864,199,0,0
833722901757046785,2940,19067,19067
833479644947025920,1846,13602,13602
833124694597443584,4346,18403,18403
832998151111966721,1957,12060,12060
832769181346996225,37,0,0
832757312314028032,3250,15352,15352
832682457690300417,2601,10825,10825
832645525019123713,473,2647,2647
832636094638288896,2495,14438,14438
832397543355072512,1996,10874,10874
832369877331693569,2848,15557,15557
832273440279240704,2093,10289,10289
832215909146226688,5604,0,0
832215726631055365,8417,0,0
832088576586297345,2,56,56
832040443403784192,8629,0,0
832032802820481025,4191,16184,16184
831939777352105988,5526,21818,21818
831926988323639298,33,311,311
831911600680497154,5844,25104,25104
831670449226514432,1656,9480,9480
831650051525054464,1755,6463,6463
831552930092285952,2114,8214,8214
831322785565769729,1406,8478,8478
831315979191906304,1012,6007,6007
831309418084069378,2206,10736,10736
831262627380748289,1854,10824,10824
830956169170665475,1355,7279,7279
830583320585068544,15107,60719,60719
830173239259324417,5135,0,0
